filename,Language,Story_type,file_id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr,spectral_centroid
00001.wav,Chinese,True Story,00001,-553.8900146484375,110.80322265625,26.71291732788086,19.60523796081543,-9.412095069885254,2.2375614643096924,-0.754002571105957,2.049160957336426,1.3705406188964844,7.378068923950195,1.6721664667129517,4.255084037780762,1.8628506660461426,0.4005689024925232,0.380431592464447,0.37281152606010437,0.3469797968864441,0.34664201736450195,0.4003864824771881,0.4874935448169708,0.5467179417610168,0.590606689453125,0.5671965479850769,0.5402408838272095,0.4731054902076721,0.07431879134158752,1331.312873154036
00002.wav,Chinese,True Story,00002,-242.39715576171875,91.88090515136719,8.65572452545166,31.74436378479004,-27.8502197265625,14.017566680908203,-11.608738899230957,-12.660140037536621,-9.491724014282227,-9.831425666809082,-2.9739058017730713,-7.251768112182617,-8.79340648651123,0.4052601158618927,0.40698665380477905,0.4137418270111084,0.44512954354286194,0.4135097563266754,0.35996297001838684,0.3863767385482788,0.3845578134059906,0.4002593755722046,0.3836791217327118,0.42258456349372864,0.3982759118080139,0.12101757652974408,1688.7036900115415
00003.wav,Chinese,True Story,00003,-222.50486755371094,93.30783081054688,-13.636523246765137,26.39745330810547,-6.645204067230225,8.581657409667969,-1.282686710357666,0.28967589139938354,-22.871368408203125,17.529071807861328,-18.201047897338867,-2.0844531059265137,0.4678167700767517,0.42239031195640564,0.41532787680625916,0.373365581035614,0.3745855689048767,0.37395256757736206,0.38561177253723145,0.4099290072917938,0.4253929853439331,0.4762331545352936,0.4386075735092163,0.45592907071113586,0.4896906912326813,0.13370846191046426,1713.6119082477283
00004.wav,Chinese,True Story,00004,-330.16302490234375,96.76184844970703,18.674034118652344,26.18205451965332,-6.697841167449951,0.6503995656967163,-5.304439544677734,-3.6303858757019043,-7.927556037902832,-8.09777545928955,-5.848962306976318,-11.79725170135498,-15.17885684967041,0.18563707172870636,0.23214325308799744,0.3611401915550232,0.3163599669933319,0.31714776158332825,0.4059378206729889,0.46228569746017456,0.45695868134498596,0.4318154454231262,0.4366011619567871,0.3312966525554657,0.2209806591272354,0.1469060773480663,1738.6820947771284
00005.wav,Chinese,True Story,00005,-490.29046630859375,94.90815734863281,20.773408889770508,23.27357292175293,7.594907760620117,9.019532203674316,0.5821303725242615,4.380026817321777,-3.779970407485962,5.099727153778076,-2.717097520828247,3.2160418033599854,0.25936996936798096,0.36830559372901917,0.26882678270339966,0.23774348199367523,0.252862811088562,0.29405903816223145,0.3789374530315399,0.47503185272216797,0.5168677568435669,0.5555720329284668,0.6034509539604187,0.5658391118049622,0.46387892961502075,0.08282310483731693,1616.8653444681913
00006.wav,Chinese,True Story,00006,-301.07806396484375,86.9487533569336,14.746850967407227,25.305686950683594,25.963178634643555,-5.550341606140137,-7.158046245574951,-2.6048264503479004,-12.855406761169434,-5.047544002532959,-5.553245544433594,-5.053813934326172,-5.902044296264648,0.42856356501579285,0.3887178897857666,0.33638033270835876,0.23939497768878937,0.25584954023361206,0.28656625747680664,0.3775602877140045,0.4689505100250244,0.48599696159362793,0.43598923087120056,0.3823399841785431,0.42944222688674927,0.12023606154247911,1683.5950620438598
00007.wav,Chinese,True Story,00007,-336.7052917480469,107.29917907714844,1.2766541242599487,32.926002502441406,4.746001243591309,4.967462062835693,-3.900886297225952,-3.5738375186920166,-0.4437103271484375,6.7510294914245605,3.5101895332336426,3.8432717323303223,5.485011577606201,0.3089621365070343,0.39173218607902527,0.3202284574508667,0.2581360638141632,0.3402676582336426,0.4736511707305908,0.49149656295776367,0.39639222621917725,0.4724496304988861,0.6012711524963379,0.5881216526031494,0.37351539731025696,0.07371718366692685,1336.199125884311
00008.wav,Chinese,True Story,00008,-264.68359375,72.49742889404297,-18.156597137451172,20.632917404174805,-18.625812530517578,-5.0572028160095215,-13.948874473571777,-0.8428815007209778,3.9095942974090576,-14.60161018371582,-6.669490814208984,-14.20163631439209,-8.463879585266113,0.3152201473712921,0.3931700885295868,0.3925374448299408,0.43931636214256287,0.40287619829177856,0.3362565338611603,0.39155077934265137,0.4816065728664398,0.48075780272483826,0.42827945947647095,0.39673134684562683,0.3229724168777466,0.1691898445851149,2003.159434575175
00009.wav,Chinese,Deceptive Story,00009,-513.8513793945312,59.032108306884766,20.389265060424805,23.87656021118164,-6.991980075836182,-3.4622461795806885,-20.79851531982422,-13.061375617980957,-17.219482421875,-21.127277374267578,-8.067873001098633,-5.851739406585693,-9.9660062789917,0.49604853987693787,0.3989006578922272,0.3120913803577423,0.27529817819595337,0.23428691923618317,0.21651208400726318,0.23093010485172272,0.30481812357902527,0.372368186712265,0.4676882028579712,0.5203238129615784,0.5495386719703674,0.11741339714972528,1712.8626368368398
00010.wav,Chinese,Deceptive Story,00010,-445.2715148925781,76.09600830078125,4.878496170043945,2.955333948135376,-16.6458683013916,-21.58241844177246,-4.535247325897217,3.3410260677337646,-9.435957908630371,-14.051753997802734,-15.459443092346191,-17.235851287841797,-18.59270668029785,0.24615232646465302,0.19498257339000702,0.16935235261917114,0.18657317757606506,0.14326763153076172,0.14816094934940338,0.1911710649728775,0.35355257987976074,0.5145826935768127,0.5622110366821289,0.4846486449241638,0.3569399416446686,0.1434598959575483,1393.1763736859455
